epoch,train_loss,val_loss,val_iou,val_dice,val_relaxed_iou,val_occ_recall,lr,sec
1,0.49309,0.36312,0.39625,0.56759,0.54691,0.24263,2.99e-04,333
2,0.36686,0.28811,0.48263,0.65104,0.63926,0.38296,2.95e-04,327
3,0.34736,0.27060,0.50398,0.67020,0.66240,0.51023,2.89e-04,327
4,0.33545,0.27221,0.50459,0.67073,0.66702,0.43124,2.81e-04,316
5,0.32102,0.25313,0.52791,0.69102,0.68014,0.50505,2.71e-04,318
6,0.31546,0.26130,0.51603,0.68077,0.67959,0.60063,2.59e-04,322
7,0.31395,0.25936,0.52107,0.68514,0.67280,0.46419,2.46e-04,320
8,0.30520,0.26167,0.51460,0.67952,0.67419,0.60683,2.30e-04,314
9,0.29472,0.24434,0.53984,0.70116,0.69383,0.51802,2.14e-04,315
10,0.28716,0.23394,0.55483,0.71368,0.71446,0.54544,1.96e-04,344
11,0.28423,0.23155,0.56053,0.71839,0.72056,0.55224,1.78e-04,355
12,0.27538,0.23384,0.55549,0.71423,0.71278,0.60395,1.59e-04,338
13,0.27286,0.22606,0.56754,0.72412,0.73040,0.58771,1.41e-04,347
14,0.26880,0.22092,0.57364,0.72906,0.73355,0.54763,1.22e-04,337
15,0.26636,0.22051,0.57527,0.73037,0.73996,0.58938,1.04e-04,341
16,0.26379,0.21470,0.58301,0.73658,0.74998,0.57856,8.61e-05,346
17,0.25650,0.21461,0.58431,0.73762,0.74896,0.57648,6.96e-05,334
18,0.25368,0.20890,0.59274,0.74430,0.75710,0.61071,5.44e-05,336
19,0.25216,0.21009,0.59139,0.74324,0.75885,0.63364,4.07e-05,338
20,0.25011,0.21005,0.59172,0.74350,0.75977,0.65332,2.86e-05,338
21,0.24437,0.20530,0.59876,0.74903,0.76289,0.61422,1.86e-05,332
22,0.24446,0.20429,0.60039,0.75031,0.76522,0.61192,1.05e-05,326
23,0.24375,0.20537,0.59848,0.74881,0.76553,0.62622,4.71e-06,327
24,0.24444,0.20429,0.60019,0.75015,0.76485,0.60658,1.18e-06,329
25,0.24467,0.20447,0.59973,0.74979,0.76605,0.62866,0.00e+00,320
